option_id,question_id,option_text,option_order
O00001,Q0001,Market alışverişi,1
O00002,Q0001,Toplu taşıma,2
O00003,Q0001,Yeni bir dijital abonelik,3
O00004,Q0001,Ev kirası,4
O00005,Q0002,Doğru,1
O00006,Q0002,Yanlış,2
O00007,Q0003,Harcamaları hiç takip etmemek,1
O00008,Q0003,Zorunlu giderleri ve geliri görmek,2
O00009,Q0003,Sadece keyfi harcamaları artırmak,3
O00010,Q0004,Bir hafta harcamaları kategori bazında yazmak,1
O00011,Q0004,Hiçbir şey yapmamak,2
O00012,Q0004,Yeni abonelik almak,3
O00013,Q0005,Konser bileti,1
O00014,Q0005,Abonelik yenileme,2
O00015,Q0005,Temel gıda alışverişi,3
O00016,Q0005,Oyun içi satın alma,4
O00017,Q0006,Gerçekçi ve ölçülebilir hedef,1
O00018,Q0006,Belirsiz hedef,2
O00019,Q0006,Sadece büyük hedef,3
O00020,Q0007,Doğru,1
O00021,Q0007,Yanlış,2
O00022,Q0008,Ay başında otomatik ayırmak,1
O00023,Q0008,Ay sonunda artarsa ayırmak,2
O00024,Q0008,Sadece canım isterse ayırmak,3
O00025,Q0009,Dışarıda kahve,1
O00026,Q0009,Abonelik ödemesi,2
O00027,Q0009,Anlık taksi,3
O00028,Q0009,Oyun içi satın alma,4
O00029,Q0010,Doğru,1
O00030,Q0010,Yanlış,2
O00031,Q0011,Harcamaları hiç yazmamak,1
O00032,Q0011,Harcamaları 1 hafta boyunca kaydetmek,2
O00033,Q0011,Sadece gelir artırmaya odaklanmak,3
O00034,Q0012,Doğru,1
O00035,Q0012,Yanlış,2
O00036,Q0013,Listeyle market alışverişi,1
O00037,Q0013,İndirim var diye ihtiyaç dışı alışveriş,2
O00038,Q0013,Toplu taşımayı kullanmak,3
O00039,Q0014,Haftasonu için harcama limiti belirlemek,1
O00040,Q0014,Limiti kaldırmak,2
O00041,Q0014,Hiç bakmamak,3
O00042,Q0015,İlaç,1
O00043,Q0015,Simit,2
O00044,Q0015,Yeni oyun paketi,3
O00045,Q0015,Temel ulaşım,4
O00046,Q0016,Doğru,1
O00047,Q0016,Yanlış,2
O00048,Q0017,Kullandıklarını tutup kullanmadıklarını iptal etmek,1
O00049,Q0017,Hepsini artırmak,2
O00050,Q0017,Hiç kontrol etmemek,3
O00051,Q0018,Haftada 1 gün kahve almamak,1
O00052,Q0018,Her gün daha pahalı kahve,2
