question_id,module_id,content_id,question_type,difficulty,question_text,correct_option_id,xp,feedback_correct,feedback_wrong
Q0001,M1,L0001,multiple_choice,1,Aşağıdakilerden hangisi ‘keyfi harcama’ya örnektir?,O00003,10,Doğru! Keyfi harcamalar ertelenebilir.,"Keyfi harcamalar zorunlu olmayan, ertelenebilir harcamalardır."
Q0002,M1,L0001,true_false,1,"Bütçe yapmak, gelirin tamamını harcamak anlamına gelir.",O00006,10,Doğru! Bütçe; planlama ve kontrol demektir.,Yanlış. Bütçe; geliri planlayıp hedeflere göre yönetmektir.
Q0003,M1,L0001,multiple_choice,2,Bütçe yönetiminde en sağlıklı ilk adım hangisidir?,O00008,20,Evet! Önce tabloyu görmek gerekir.,Bütçe yönetimi için önce gelir ve zorunlu giderleri görmek gerekir.
Q0004,M1,L0002,scenario,2,Senaryo: Ay sonunda 300 TL açığın çıkıyor. İlk olarak ne yaparsın?,O00010,20,Harika! Önce farkındalık ve ölçüm.,En iyi ilk adım harcamaları ölçmek ve nerede arttığını görmektir.
Q0005,M1,L0001,multiple_choice,1,Aşağıdakilerden hangisi ‘ihtiyaç’ harcamasına daha yakındır?,O00015,10,Doğru! Temel gıda çoğunlukla ihtiyaçtır.,İhtiyaç harcamaları günlük yaşam için zorunlu olanlardır.
Q0006,M1,L0002,multiple_choice,2,Bütçe hedefi koyarken en uygulanabilir yaklaşım hangisidir?,O00017,20,Evet! Ölçülebilir hedef sürdürülebilir olur.,"Hedefin ölçülebilir ve gerçekçi olması, takip etmeyi kolaylaştırır."
Q0007,M1,L0001,true_false,2,"Harcamaları kategori bazında takip etmek, gereksiz harcamaları fark etmeyi kolaylaştırır.",O00020,20,Kesinlikle! Kategori takibi farkındalık sağlar.,Yanlış. Kategori takibi gereksiz harcamaları görünür kılar.
Q0008,M1,L0001,scenario,3,Senaryo: Düzenli birikim yapmak istiyorsun. En sağlam yöntem hangisi?,O00022,30,Doğru! Otomatik ve ay başı ayırmak en etkilidir.,"En etkili yöntem, gelir gelir gelmez birikimi otomatik ayırmaktır."
Q0009,M1,L0002,multiple_choice,1,Bütçede ‘sabit gider’ örneği hangisidir?,O00026,10,Evet! Abonelik genellikle düzenli giderdir.,Sabit giderler genellikle düzenli tekrar eden ödemelerdir.
Q0010,M1,L0002,true_false,1,Küçük harcamalar (örn. 40 TL) ay sonunda birikerek büyük toplam oluşturabilir.,O00029,10,Doğru! Sıklık toplamı büyütür.,Yanlış. Sık yapılan küçük harcamalar ay sonunda büyür.
